Topic Title,Replies,Tags,Category,cleaned_title,cleaned_explanation
Help Section not working properly,"['The help section is too slow at times. For example its not processing after this text.photo_2023-06-30_16-33-36591×1280 35.7 KB', '@ShawnpintoPlease look into it.', 'Still facing issues on the help section, sometimes mobile hanging during interaction with the support team.', 'Noted. The team will keep an eye on the channel.', 'Any update on this issue?']",[],Help,help section working properly,help section slow times example processing textphoto202306301633365911280 357 kb look still facing issues help section sometimes mobile hanging interaction support team noted team keep eye channel update issue
Appreciation Post and Improvement Suggestions,"['Jupiter has  wonderful customer service support and its a pleasure to interact with them even though the more less we use it, the more the better(the app is more stable and the issues are sorted without need to approach), but you know that you can rely on them when in need. Kudos to@Jitenand his team for improving the customer experience.Now for some suggestions to further improve the customer support experience-1)Please mail the transcript of the communication exchange to the customer on his email as well, that will help him to keep track and remember as well incase he clear his notifications.2)Do also include  displaying a message like typing… or some symbol when either the support staff or the customer is typing.I hope to see these changes implemented soon as this will not just enhance an already beautiful experience but also will be more intuitive to the final consumer and  will in the process keep him alert and patient as well. Well done once again.@sneh.baxi@sahil-sorathiya', ""Thanks@cric_freak! We love talking to our customers tooMessages like these keep us going.Also, thanks a bunch for the suggestions!Mailing the transcript / Having a record of the ticket or issue - Very legit ask. We’re gonna be sending emails with a log of the transaction starting next week. Also would be adding a section within the Help Centre to show the same information.Indicator that the support team is typing - This would certainly give comfort to user. Taking this up with our Product team - will see if we can do something quick here.Keep 'em coming@cric_freak. These are really helpful and will certainly help elevate the experience!""]",[],Feedback & Ideas,appreciation post improvement suggestions,jupiter wonderful customer service support pleasure interact even though less use betterthe app stable issues sorted without need approach know rely need kudos team improving customer experiencenow suggestions improve customer support experience1please mail transcript communication exchange customer email well help keep track remember well incase clear notifications2do also include displaying message like typing symbol either support staff customer typingi hope see changes implemented soon enhance already beautiful experience also intuitive final consumer process keep alert patient well well done againbaxisorathiya thanks love talking customers toomessages like keep us goingalso thanks bunch suggestionsmailing transcript record ticket issue legit ask gonna sending emails log transaction starting next week also would adding section within help centre show informationindicator support team typing would certainly give comfort user taking product team see something quick herekeep em coming really helpful certainly help elevate experience
Issue in Pay Advance,"['While I’m trying to pay the mobile postpaid bill on my Android Device, i observed that the ""Pay Advance "" button isn’t redirecting anywhere and it is just taking me back to the Bills Page.', '@Sukesh_PabbaNice to see you backI hope someone from here can confirm whether they too face this issue or not.(Unfortunately, I don’t have any postpaid number to check and confirm)Also, it is always better to attach the screen recording/ video recording of the issue , so that it would be easy for the concerned team to locate the issue.', 'I agree but video would reveal the mobile number and I might have to redact that info !Did not have the right tool to get that job done easily.', 'Its Ok Sir,Hope someone from community confirm the same soon.Btw, again It’s better to share whether its iOS or Android.(I forgot to mention in my previous post)', 'What I usually do is upload the video to YouTube and YouTube studio has an inbuilt mini video editor with blur tool having motion tracking capabilities.', '@Sukesh_PabbaIs it possible for you to record it from another device and send it to me privately?That should work.If a button isn’t working, that’s something we need to fix.Thanks for testing btw.', 'Thanks for the tip. Will definitely give it a try!', 'Sure. Let me send it.', 'Messaged you the video link.', 'I hope you are able to access the video.', 'Yup, I have access.The team is trying to reproduce this.', '@Sukesh_PabbaWe’ll need an app update for this fix. It should be okay on the next update.']",[],Help,issue pay advance,im trying pay mobile postpaid bill android device observed pay advance button isnt redirecting anywhere taking back bills page see backi hope someone confirm whether face issue notunfortunately dont postpaid number check confirmalso always better attach screen recording video recording issue would easy concerned team locate issue agree video would reveal mobile number might redact info right tool get job done easily ok sirhope someone community confirm soonbtw better share whether ios androidi forgot mention previous post usually upload video youtube youtube studio inbuilt mini video editor blur tool motion tracking capabilities possible record another device send privatelythat workif button isnt working thats something need fixthanks testing btw thanks tip definitely give try sure let send messaged video link hope able access video yup accessthe team trying reproduce need app update fix okay next update
Support executive,"['Recently, had conversation with one of the customer executive supervisor, very pathetic experience.Disconnecting calls without customer consent and not valuing customer emotions…… Please work on this Jupiter…', '@AjieethdesignVery sorry to hear about your experience.Please DM your contact details in order to investigate this further.', 'Kindly contact through Jupiter App.', 'Banking apps need faster resulation and good support team.Jupiter excellently doesn’t do this.They simply take their own sweet time to fix issues,fails to keep up their words.Wasting customer time (hell lot of time).Poor way of communication with customer.Blaming customerDoesn’t keep up their words. No awareness on user usecases.Still they aren’t able to solve an issue from past two months.Very pathetic serviceHelp#supportBug huntersJupiter appAll things else', 'What issue are you facing ?', '@AjieethdesignWe are sorry your feel this way.As per our teams conversation with you few days back, we have already taken this up with our engineering team who is looking into the same.We will get back to you with an update once the issue is resolved.If you are facing any transactions related issue, feel free to get in touch.', '@AjieethdesignAs per the latest update from the team, the issue you were facing has been resolved. Feel free to get in touch if you need any other help.', 'Took two months to resolve, be fast to resolve the issues.Respect customer emotions, don’t hurt their emotions because of your smartness.', '@AjieethdesignThank you for your feedback.']",[],Help,support executive,recently conversation one customer executive supervisor pathetic experiencedisconnecting calls without customer consent valuing customer emotions please work jupiter sorry hear experienceplease dm contact details order investigate kindly contact jupiter app banking apps need faster resulation good support teamjupiter excellently doesnt thisthey simply take sweet time fix issuesfails keep wordswasting customer time hell lot timepoor way communication customerblaming customerdoesnt keep words awareness user usecasesstill arent able solve issue past two monthsvery pathetic servicehelpsupportbug huntersjupiter appall things else issue facing sorry feel wayas per teams conversation days back already taken engineering team looking samewe get back update issue resolvedif facing transactions related issue feel free get touch per latest update team issue facing resolved feel free get touch need help took two months resolve fast resolve issuesrespect customer emotions dont hurt emotions smartness feedback
Help and support,"['The help and support chats are also not getting opened when I wanted to raise a query with the team even after I reinstalled and restarted the device, the issue is still present, and pots are also having bugs the amount in pot got missing and now it is showing I did 2 transactions.', 'Hello Yukta,We hear your concern. We deeply regret the inconvenience caused. We are connecting with you via DM to have this addressed for you.Thank you.']",[],Help,help support,help support chats also getting opened wanted raise query team even reinstalled restarted device issue still present pots also bugs amount pot got missing showing 2 transactions hello yuktawe hear concern deeply regret inconvenience caused connecting via dm addressed youthank
Gas bill due,"['Hello,All of a sudden I am getting multiple notifications on email, whatsapp about this gas bill.I have never paid any bills from Jupiter, also this connection is from 2 years back when I was on rent at this place.I have also checked the app, to dismiss or delete this bill but I don’t see any option, 1st of all where has this bill even gotten detected from since I have not paid a single bill from Jupiter.Please let me know how to dismiss this bill and delete this bill forever so that I don’t get any more notifications further.image933×139 17.9 KB', 'photo_2023-12-03_12-40-48573×1280 84.3 KBAlso on whatsapp.', 'Has to be some bug.', 'image864×38 3.68 KBReminder again, please make this stop, give me option to dismiss this bill forever, all I see is a option to mark as paid, I dont want this reminder.', 'You can remove the bill from jupiter appGo to the bill payment pageAt the bottom there will be an option to manage all your bills .In the your bills section there is a menu with three dots which will allow you to remove the selected bill.This way you wont get future reminders.Hope that it helps.', 'Done thank you, earlier I had only 2 options “view options” and “mark as paid” suddenly now I see Delete bill, have deleted the bill.', 'You are welcome.You can close this issue by marking the post as solution.', 'This topic was automatically closed 24 hours after the last reply. New replies are no longer allowed.']",[],Help,gas bill due,helloall sudden getting multiple notifications email whatsapp gas billi never paid bills jupiter also connection 2 years back rent placei also checked app dismiss delete bill dont see option 1st bill even gotten detected since paid single bill jupiterplease let know dismiss bill delete bill forever dont get notifications furtherimage933139 179 kb photo202312031240485731280 843 kbalso whatsapp bug image86438 368 kbreminder please make stop give option dismiss bill forever see option mark paid dont want reminder remove bill jupiter appgo bill payment pageat bottom option manage bills bills section menu three dots allow remove selected billthis way wont get future remindershope helps done thank earlier 2 options view options mark paid suddenly see delete bill deleted bill welcomeyou close issue marking post solution topic automatically closed 24 hours last reply new replies longer allowed
Issue in Pay Advance,"['While I’m trying to pay the mobile postpaid bill on my Android Device, i observed that the ""Pay Advance "" button isn’t redirecting anywhere and it is just taking me back to the Bills Page.', '@Sukesh_PabbaNice to see you backI hope someone from here can confirm whether they too face this issue or not.(Unfortunately, I don’t have any postpaid number to check and confirm)Also, it is always better to attach the screen recording/ video recording of the issue , so that it would be easy for the concerned team to locate the issue.', 'I agree but video would reveal the mobile number and I might have to redact that info !Did not have the right tool to get that job done easily.', 'Its Ok Sir,Hope someone from community confirm the same soon.Btw, again It’s better to share whether its iOS or Android.(I forgot to mention in my previous post)', 'What I usually do is upload the video to YouTube and YouTube studio has an inbuilt mini video editor with blur tool having motion tracking capabilities.', '@Sukesh_PabbaIs it possible for you to record it from another device and send it to me privately?That should work.If a button isn’t working, that’s something we need to fix.Thanks for testing btw.', 'Thanks for the tip. Will definitely give it a try!', 'Sure. Let me send it.', 'Messaged you the video link.', 'I hope you are able to access the video.', 'Yup, I have access.The team is trying to reproduce this.', '@Sukesh_PabbaWe’ll need an app update for this fix. It should be okay on the next update.']",[],Help,issue pay advance,im trying pay mobile postpaid bill android device observed pay advance button isnt redirecting anywhere taking back bills page see backi hope someone confirm whether face issue notunfortunately dont postpaid number check confirmalso always better attach screen recording video recording issue would easy concerned team locate issue agree video would reveal mobile number might redact info right tool get job done easily ok sirhope someone community confirm soonbtw better share whether ios androidi forgot mention previous post usually upload video youtube youtube studio inbuilt mini video editor blur tool motion tracking capabilities possible record another device send privatelythat workif button isnt working thats something need fixthanks testing btw thanks tip definitely give try sure let send messaged video link hope able access video yup accessthe team trying reproduce need app update fix okay next update
Suggestions about 'recently payed',"['In the payments tab there is an option of recently payed…It is difficult to understand who are the payees. I tried opening it and I could see an option to pay them and not much info about themNeed an option to remove the upi  payees (I found option to manage payees to remove payees that i added with ifsc and account number)I liked the approach of gpay in which clicking on the payee button would show all the transactions i had done with them like whatsapp chat… Would be useful if i had to pay someone regularly (like my broadband operator)while clicking on the name at the top bar it should some information about the payeeThe second payee on the image is actually a temporary ID that was generated to add money to my Fi account. whenever I click on it shows a message to go back to home. No way  to remove it.', '@Aswin_BennyThis is WIP. We should be able to edit payees, see more info, and payee removal. We don’t have a shareable timeline yet but we’ll update it on our Lab test post -#7when it comes.Just like how we did self transfer earlier.', 'Thnx …  I liked the link that is sent to the payee via sms. Saying amount is payed.', 'Yes recent payees group in this section is annoying. Please remove it and add a pay again button under transaction details.']",[],Feedback & Ideas,suggestions recently payed,payments tab option recently payedit difficult understand payees tried opening could see option pay much info themneed option remove upi payees found option manage payees remove payees added ifsc account numberi liked approach gpay clicking payee button would show transactions done like whatsapp chat would useful pay someone regularly like broadband operatorwhile clicking name top bar information payeethe second payee image actually temporary id generated add money fi account whenever click shows message go back home way remove wip able edit payees see info payee removal dont shareable timeline yet well update lab test post 7when comesjust like self transfer earlier thnx liked link sent payee via sms saying amount payed yes recent payees group section annoying please remove add pay button transaction details
Remove or select the recent payees for UPI and Bank Transfer,"['If we’re able to selectively remove payees from the Recent payees list, would be good, I’d like to just keep those I pay frequently in the list, so that I can select and transfer directly, but most of the payments I would do are one time and just creates a distraction on the screen, giving a better UX.']",[],Feedback & Ideas,remove select recent payees upi bank transfer,able selectively remove payees recent payees list would good id like keep pay frequently list select transfer directly payments would one time creates distraction screen giving better ux
Notification for Subscription auto-payments I want to cancel,"['I regularly get auto-charged for subscriptions I signed up to only use once, and then forgot to cancel it, and then next month they charge me just because my account details were with them.This happens for online content sites mostly.I would be happy to link my Gmail with my account just to get rid of this problem.There is a chrome extension Subscybe trying to solve this, but they are not very effective.', 'This is definately a useful feature. I literally had to block one of my cards because i wasnt able disable the auto deduction neither i was able to track what the amount was been deduced for. This approach was suggested by the issuing bank itself.', 'Definitely want it, a list of subscription on my banking app which I can cancel is neat.I would love to add on here too add all the standing instructions too. It so be helpful to see all the outflow of money in a simple list view sorted by date.', 'Interesting, one of our community members@cpkhas already suggested a similar idea now on our board:', 'We are in the era of Subscription Economy and with every 2nd product following the same model, we as users, tend to lose track & opt for convenience (read: auto payment) and only realise when it’s too late to get the money back.To counter the same,@dhinesh@sam@Palak_Jain@nprashant_nayakanti@abrazand many others from the community feel the need for a subscription manager.What all functionalities would you desire in the same? I’m personally eager to understand the why as well so elaborate pls']",[],Feedback & Ideas,notification subscription autopayments want cancel,regularly get autocharged subscriptions signed use forgot cancel next month charge account details themthis happens online content sites mostlyi would happy link gmail account get rid problemthere chrome extension subscybe trying solve effective definately useful feature literally block one cards wasnt able disable auto deduction neither able track amount deduced approach suggested issuing bank definitely want list subscription banking app cancel neati would love add add standing instructions helpful see outflow money simple list view sorted date interesting one community members already suggested similar idea board era subscription economy every 2nd product following model users tend lose track opt convenience read auto payment realise late get money backto counter many others community feel need subscription managerwhat functionalities would desire im personally eager understand well elaborate pls
